NAME,NOM,STREET,PLAQUE LOCATION,TOWN,PROV,REASON FOR DESIGNATION,RAISION DE LA DESIGNATION,LATITUDE (WGS84),LONGITUDE (WGS84)
"Douglas, Sir James","Douglas, sir James",<Null>,Parliament Buildings,Victoria,British Columbia,"Governor of Vancouver Island (1851-63), first Governor of British Columbia (1858-64)","Gouverneur de l'île de Vancouver (1851-1863), premier gouverneur de la Colombie-Britannique (1858-1864)",48.41955,-123.366767
"Douglas, Thomas (5th Earl of Selkirk)","Douglas, Thomas (cinquième comte de Selkirk)",corner of Colony Street and Memorial Boulevard,<Null>,Winnipeg,Manitoba,"Colonizer, founded settlements in Prince Edward Island (1803) and Red River district (1811)","Colonisateur, a fondé des établissements à l'Île-du-Prince-Édouard (1803) et le district de Red River (1811)",49.890183,-97.15045
"Drummond, Sir Gordon","Drummond, sir Gordon",Queen's Park Crescent East,Queen's Park,Toronto,Ontario,Commander of the British forces in Upper Canada (1813-14); War of 1812,Commandant des forces britanniques du Haut-Canada (1813-1814); guerre de 1812,43.66243,-79.391627
"Drury, Sir Charles Carter","Drury, sir Charles Carter",277 Douglas Avenue,New Brunswick Museum,Saint John,New Brunswick,"Admiral (1908) in the Royal Navy, Knight Commander of the Most Honourable Order of the Bath (1905)","Amiral (1908) dans la Marine Royale, «Knight Commander of the Most Honourable Order of the Bath» (1905)",45.269115,-66.081857
"Dufferin, Marquess of (Frederick Blackwood)","Dufferin, marquis de (Frederick Blackwood)",Dufferin Terrace,southern end of the Rotonde,Québec,Quebec,"Governor General of Canada (1872-78), writer, traveller, linguist and diplomat","Gouverneur général du Canada (1872-1878), écrivain, voyageur, linguiste et diplomate",46.811618,-71.204651
"Duley, Margaret Iris","Duley, Margaret Iris",<Null>,"Education Building, Memorial University",St. John's,Newfoundland and Labrador,First Newfoundland novelist to attain worldwide recognition,Première romancière de Terre-Neuve à atteindre une reconnaissance mondiale,47.574064,-52.736574
"Dumont, Gabriel","Dumont, Gabriel",<Null>,<Null>,Gabriel's Crossing,Saskatchewan,"Métis leader in Saskatchewan; military commander in Northwest Rebellion, Northwest Rebellion 1885",Chef métis en Saskatchewan; commandant militaire au cours de la Rébellion du Nord-Ouest,52.662966,-106.848607
"Dunning, Charles Avery","Dunning, Charles Avery",<Null>,<Null>,Regina,Saskatchewan,Premier of Saskatchewan (1922-26); federal Minister of Finance,"Premier ministre de la Saskatchewan (1922-1926), ministre fédéral des Finances",50.455376,-104.618593
"Dunsmuir, Robert","Dunsmuir, Robert",1050 Joan Crescent,Craigdarroch,Victoria,British Columbia,"Discovered coal near Nanaimo (1869), began commercial empire","A découvert du charbon près de Nanaimo (1869), a commencé à construire un empire commercial",48.42255,-123.343983
"Duplessis, Maurice","Duplessis, Maurice",<Null>,<Null>,Trois-Rivières,Quebec,"Founded Union Nationale party in 1935, Premier of Quebec (1936-39, 1944-59)","Fondateur du Parti de l'Union nationale en 1935, premier ministre du Québec (1936-1939, 1944-1959)",46.344825,-72.540931
"Dworkin, Dorothy","Dworkin, Dorothy",100 Yorkville Avenue,<Null>,*    Toronto,Ontario,"Provided health and social services to immigrant Jews, an otherwise marginalized group in Canada","A fait bénéficier les immigrants juifs, groupe par ailleurs marginalisé par la société canadienne, de soins de santé et de services sociaux",43.67091,-79.392381
"Eaton, Timothy","Eaton, Timothy",220 Yonge Street,"Eaton Centre, Main Entrance",Toronto,Ontario,"Established famous department store 1869, began mail order in 1884","Fondation du célèbre grand magasin en 1869, commandes postales à partir de 1884",43.654817,-79.380533
"Eddy, Ezra Butler","Eddy, Ezra Butler",Alexandre Taché Blvd and Montcalm Streets,Exterior of E. B. Eddy Building,Hull,Quebec,"Manufacturer of matches, wood products and pulp and paper","Fabricant d'allumettes, de produits du bois et de papier",45.424535,-75.721952
"Edwards, Henrietta Muir","Edwards, Henrietta Muir",Haultain Ave & 22 St.,At the entrance to Fort MacLeod Post Office,Fort Macleod,Alberta,"Social and legislative reformer, fought for rights of women","Réformatrice sociale et législative, défenseur des droits des femmes",49.724137,-113.408469
"Ewart, John Skirving","Ewart, John Skirving",<Null>,University of Manitoba,Winnipeg,Manitoba,"Lawyer, publicist, in Manitoba schools dispute (1890-96)",Avocat et publiciste dans la controverse autour des écoles du Manitoba (1890-1896),49.811883,-97.130495
"Falconer, Sir Robert","Falconer, sir Robert",*147 Weymouth Street,in the Prince of Wales College (now Holland College),Charlottetown,Prince Edward Island,President of the University of Toronto (1907-32),Recteur de l'Université de Toronto (1907-1932),46.238777,-63.122659
"Fauteux, Aegidius","Fauteux, Ægidius",<Null>,<Null>,*    Montréal,Quebec,"Librarian and historian at the Bibliothèque St. Sulpice, Montréal (1912-31)","Bibliothécaire et historien à la bibliothèque Saint-Sulpice, Montréal (1912-1931)",45.5,-73.6
"Feild, Bishop Edward","Feild, Évêque Edward",<Null>,St. John the Baptist Anglican Cathedral NHSC,St. John's,Newfoundland and Labrador,"Radically restructured the personnel, administration and visibility of the Church of England in Newfoundland","A radicalement transformé la composition, l'administration et la visibilité de l'Église anglicane de Terre-Neuve",47.565375,-52.708574
"Fessenden, Reginald Aubrey","Fessenden, Reginald Aubrey",<Null>,<Null>,Austin,Quebec,"Pioneer in radio communication, developed sonic depth finder","Pionnier des communications radio, inventeur de l'échosondeur",45.183809,-72.280479
"Fidler, Peter","Fidler, Peter",4th Ave. W. at 1st St. W.,Elks Park,Meadow Lake,Saskatchewan,Hudson's Bay Company trader on the Saskatchewan and Churchill rivers,Négociant de la Compagnie de la Baie d'Hudson sur la rivière Saskatchewan et le fleuve Churchill,54.128853,-108.435828
"Fielding, William Stevens","Fielding, William Stevens",corner of Barrington and Sackville Streets,in the Tramway Building,Halifax,Nova Scotia,"Premier of Nova Scotia (1884-96), federal Minister of Finance (1896-1911, 1921-25)","Premier ministre de la Nouvelle-Écosse (1884-1896), ministre fédéral des Finances (1896-1911,1921-25)",44.646238,-63.573545
"Fisher, Charles","Fisher, Charles",706 Queen Street,Legislative Assembly Building,Fredericton,New Brunswick,"Father of Confederation, Premier of New Brunswick (1851-61)","Père de la Confédération, premier ministre du Nouveau-Brunswick (1851-1861)",45.959399,-66.635749
"Fitzpatrick, Sir Charles","Fitzpatrick, sir Charles",<Null>,University of Laval,Québec,Quebec,"Chief Justice of Canada, Lieutenant-Governor of Quebec (1918-23); chief counsel for Louis Riel, Northwest Rebellion 1885","Juge en chef du Canada, lieutenant-gouverneur du Québec (1918-1923), avocat en chef pour Louis Riel (1885); Rébellion du Nord-Ouest",46.815299,-71.204893
"Fleming, Bishop Michael Anthony","Fleming, Évêque Michael Anthony",172 Military Road,Basilica of St. John the Baptist NHSC,St. John's,Newfoundland and Labrador,"Radically restructured the personnel, administration and visibility of the Roman Catholic Church in Newfoundland","A radicalement transformé la composition, l'administration et la visibilité de l'Église catholique de Terre-Neuve",47.567187,-52.710164
"Fleming, Sir Sandford","Fleming, sir Sandford",Observatory Lane,"Dominion Observatory, Central Experimental Farm",Ottawa,Ontario,"Railway survey and construction engineer, advocate of Standard Time","Ingénieur et arpenteur ferroviaire,  l'origine de «l'heure normale»",45.393517,-75.714183
"Foster, Sir George Eulas","Foster, sir George Eulas",277 Douglas Avenue,New Brunswick Museum,Saint John,New Brunswick,"Statesman, orator and administrator, supporter of the League of Nations","Homme d'État, orateur et administrateur, partisan de la Société des nations",45.269115,-66.081857
"Fox, Terry","Fox, Terry",<Null>,"Terry Fox monument at Mile 0, Harbourside Park",St. John's,Newfoundland and Labrador,"An enduring icon, the qualities of both the man and his ""Marathon of Hope"" captivated the country and resonated deeply with Canadians","Une légende impérissable; les qualités de l'homme et ses  ""Marathon of Hope"" ont en effet séduit les Canadiennes et les Canadiens et éveillé chez eux des résonances profondes",47.567259,-52.703077
"Fox, Terry","Fox, Terry",<Null>,Terry Fox Scenic Lookout along the Trans-Canada Highway,Thunder Bay,Ontario,"An enduring icon, the qualities of both the man and his ""Marathon of Hope""  captivated the country and resonated deeply with Canadians","Une légende impérissable; les qualités de l'homme et ses  ""Marathon of Hope"" ont en effet séduit les Canadiennes et les Canadiens et éveillé chez eux des résonances profondes",48.484795,-89.168278
"Fox, Terry","Fox, Terry",2580 Shaughnessy Street,near City Hall,Port Coquitlam,British Columbia,"An enduring icon, the qualities of both the man and his ""Marathon of Hope""  captivatied the country and resonated deeply with Canadians","Une légende impérissable; les qualités de l'homme et ses  ""Marathon of Hope"" ont en effet séduit les Canadiennes et les Canadiens et éveillé chez eux des résonances profondes",49.26238,-122.78066
"Foxe, Luke","Foxe, Luke",<Null>,<Null>,*    Cape Henrietta Maria,Ontario,"Arctic explorer, discovered Foxe Basin, wrote ""North-West Fox"" (1635)","Explorateur de l'Arctique, découvreur du bassin Foxe, auteur de «North-West Fox»  (1635)",55.15,-82.333056
"Francq, Gustave","Francq, Gustave",9-11 Saint Paul ouest,<Null>,*    Montréal,Quebec,Leading figure of international trade unionism in Canada; founded the newspaper Le Monde ouvrier/The Labor World in 1915,A été une figure marquante du syndicalisme international au Canada; fondateur du journal Le Monde ouvrier/The Labor World en 1915,45.505402,-73.55392
"Franklin, Sir John","Franklin, sir John",<Null>,<Null>,*    Beechey Island,Nunavut,"Explorer, charted Arctic coast (1819-22 and 1825-27), lost in 1845","Explorateur cartographe des côtes de l'Arctique (1819-22 et 1825-27), disparu en 1845",74.722693,-91.845409
"Fraser, Archibald","Fraser, Archibald",<Null>,<Null>,Edmundston,New Brunswick,"Lumber industry magnate, pioneer in pulp and paper manufacture in New Brunswick","Magnat de l'industrie du bois, pionnier de l'industrie des pâtes et des papiers au Nouveau-Brunswick",47.374886,-68.329695
"Freiman, Lillian Bilsky","Freiman, Lillian Bilsky",149 Somerset Street West,<Null>,*    Ottawa,Ontario,A gifted organizer and philanthropist who worked to improve the health and welfare of her fellow citizens,"Philanthrope et organisatrice douée, elle a uvré pour la santé et le bien-être de ses concitoyens",45.418268,-75.689358
"Frobisher, Sir Martin","Frobisher, sir Martin",<Null>,<Null>,Iqaluit,Nunavut,"Arctic explorer, led three expeditions (1576-78), first charting of Eastern Arctic","Explorateur de l'Arctique, à la tête de trois expéditions (1576-1578), premier cartographe de l'Est",63.753845,-68.507168
"Fréchette, Louis","Fréchette, Louis",St. Laurent Street,<Null>,Lévis,Quebec,Leading poet of French Canada in 19th-century,Grand poète du Canada français au XIXe siècle,46.784138,-71.196366
"Gaboury, Marie-Anne","Gaboury, Marie-Anne",<Null>,Lagimodière-Gaboury Park,St. Boniface,Manitoba,"Grandmother of Louis Riel, wife of Jean-Baptiste Lagimodière","Grand-mère de Louis Riel, épouse de Jean-Baptiste Lagimodière",49.89965,-97.110817
"Gage, Sir William James","Gage, sir William James",corner of Main South and Wellington West,Gage Park,Brampton,Ontario,Founder of textbook publishing firm W. J. Gage and Company,Fondateur de la maison d'édition scolaire W. J. Gage and Co.,43.684433,-79.758283
"Gagnon, Clarence A.","Gagnon, Clarence A.",<Null>,<Null>,*    Montréal,Quebec,"Engraver and painter, member of Royal Canadian Academy of Arts","Graveur et peintre, membre de l'Académie royale des arts du Canada",45.508818,-73.554133
"Galt, Sir Alexander Tilloch","Galt, sir Alexander Tilloch",Cambridge and London Streets,Portland Park,Sherbrooke,Quebec,"Entrepreneur, railway promoter and politician, Father of Confederation","Entrepreneur, constructeur de chemin de fer et politicien, père de la Confédération",45.404014,-71.902871
"Ganong, William Francis","Ganong, William Francis",277 Douglas Avenue,in New Brunswick Museum,Saint John,New Brunswick,"Scientist, historian, professor of Botany in United States","Scientifique, historien, cartographe, professeur de botanique aux État-Unis",45.269115,-66.081857
"Gardiner, James Garfield","Gardiner, James Garfield",Prince Edward St. and 12th Avenue,Melville Regional Park,Melville,Saskatchewan,"Premier of Saskatchewan (1926-29, 1934-35), federal Minister of Agriculture (1935-57)","Premier ministre de la Saskatchewan (1926-1929, 1934-1937), ministre fédéral de l'Agriculture (1935-1957)",50.935821,-102.796057
"Garneau, François-Xavier","Garneau, François-Xavier",Pierre-Olivier-Chauveau Street,On wall next to City Hall side entrance,Québec,Quebec,"Historian, founder of the ""Institut canadien de Québec""","Historien, fondateur de l'institut canadien de Québec",46.814217,-71.208145
"Gaultier de La Vérendrye, Pierre","Gaultier de La Vérendrye, Pierre",Forks Market Road,The Forks - behind the Oodena Celebration Circle,Winnipeg,Manitoba,"Explorer and fur trader, established posts west of Lake Superior","Explorateur et trafiquant de fourrures, établit des postes à l'ouest du lac Supérieur",49.886633,-97.1283
"Gaultier de La Vérendrye, Pierre","Gaultier de La Vérendrye, Pierre",Garry St. and Assiniboine Avenue,Bonnycastle Park,Winnipeg,Manitoba,"Explorer and fur trader, established posts west of Lake Superior","Explorateur et trafiquant de fourrures, établit des postes à l'ouest du lac Supérieur",49.885869,-97.134596
"Gaultier de La Vérendrye, Pierre","Gaultier de La Vérendrye, Pierre",<Null>,<Null>,*    Trois-Rivières,Quebec,"Explorer and fur trader, established posts west of Lake Superior","Explorateur et trafiquant de fourrures, établit des postes à l'ouest du lac Supérieur",46.343096,-72.543317
"Genik, Cyril","Genik, Cyril",25 Forks Market Road,The Forks NHSC,Winnipeg,Manitoba,Ukrainian Canadian leader who assisted Ukrainian immigrants to settle in the Canadian West,Leader de la communauté ukrainienne canadienne qui a aidé les immigrants ukrainiens à s'établir dans l'Ouest du Canada,49.887483,-97.129367
"Gesner, Abraham","Gesner, Abraham","East side of Middle Dyke Road, about 500m south from Church Street",<Null>,Chipman Corner,Nova Scotia,"Physician, geologist and author, first refined kerosene (1846)","Médecin, géologue et auteur, mit au point le raffinage du kérosène (1846)",45.09889,-64.47639
"Gibbon, John Murray","Gibbon, John Murray",St. Julien Road and Tunnel Mountain Drive,"Behind Administration Building, Banff School of Fine Arts",Banff National Park of Canada,Alberta,"Author and novelist, founded Canadian Authors' Association (1921)","Auteur et romancier, fondateur de la «Canadian Authors' Association» (1921)",51.170195,-115.559306
"Gibbs, Mifflin Wistar","Gibbs, Mifflin Wistar",corner of Menzies and Michigan Streets,<Null>,*    Victoria,British Columbia,"Politician, businessman, and defender of human rights, he was the recognized leader of the Black community in Vancouver Island during its early years between 1858 and 1870","Homme politique, hommes d'affaires et défenseur des droits de la personne, le leader reconnu de la communauté noire dans l'île de Vancouver de cette communauté entre 1858 et 1870",48.416983,-123.373018
"Gibson, Alexander ""Boss""","Gibson, Alexander «Boss»",Union and Gibson Street,Carleton Park,*    Fredericton,New Brunswick,Pivotal figure in the economy of Atlantic Canada at a time of transformation and integration within the national economy,Un rouage important de l'économie des provinces atlantiques dans une période de transformation et d'intégration à l'économie nationale,45.962234,-66.625595
"Giffard, Robert","Giffard, Robert",<Null>,<Null>,Giffard,Quebec,"Physician, surgeon and colonizer, seigneur of Beauport (1634)","Médecin, chirurgien et colonisateur, seigneur de Beauport (1634)",46.866667,-71.183333
"Gilbert, Sir Humphrey","Gilbert, sir Humphrey",<Null>,Mounted on cairn near docks,St. John's,Newfoundland and Labrador,Leader of 1583 English attempt to establish a colony in Newfoundland,Chef de la tentative anglaise d'établir une colonie à Terre-Neuve en 1583,47.567255,-52.702484
"Girouard, Sir Edouard Percy Cranwell","Girouard, sir Edouard Percy Cranwell",<Null>,At the Royal Military College,Kingston,Ontario,"Military engineer, constructed railways in Africa","Ingénieur militaire, constructeur de chemins de fer en Afrique",44.231267,-76.468133
"Girouard, Sir Edouard Percy Cranwell","Girouard, sir Edouard Percy Cranwell",548 Sherbrooke Street west,<Null>,Montréal,Quebec,"Military engineer, constructed railways in Africa","Ingénieur militaire, constructeur de chemins de fer en Afrique",45.506177,-73.572517
"Goldsmith, Oliver","Goldsmith, Oliver",Water St at corner of King,St. Stephen Post Office NHSC,Saint Andrews,New Brunswick,"Wrote ""The Rising Village"", first famous native-born Canadian poet","Auteur de «The Rising Village», premier poète célèbre né au Canada",45.073674,-67.052856
"Gordon, Charles William (Ralph Connor)","Gordon, Charles William (Ralph Connor)",54 West Gate,Outer wall of University Women's Club,Winnipeg,Manitoba,"Novelist, author of ""The Man from Glengarry"", ""The Sky Pilot""","Romancier, auteur de «The Man from Glengarry», «The Sky Pilot»",49.87751,-97.15903
"Gould, Glenn","Gould, Glenn",200 Front Street West,CBC Building,*    Toronto,Ontario,"Brilliant, eccentric, and recognized internationally as one of the great classical musicians of the 20th century","Personnalité brillante, excentrique, reconnue dans le monde comme un des plus grands musiciens classiques du XXe siècle",43.644832,-79.385879
"Grant, Cuthbert","Grant, Cuthbert",South side of Highway 26 at Paul St.,<Null>,St. François Xavier,Manitoba,"Métis leader at Battle of Seven Oaks (1816), Warden of the Plains for Hudson's Bay Company","Chef métis à la bataille de Seven Oaks (1816), gardien pour la Compagnie de la Baie d'Hudson",49.91285,-97.542517
"Grant, George Monro","Grant, George Monro",<Null>,<Null>,Stellarton,Nova Scotia,"Educator and writer, principal of Queen's University (1877-1902)","Éducateur et écrivain, recteur de l'Université Queen's (1877-1902)",45.559167,-62.66
"Gravel, Louis-Pierre","Gravel, Louis-Pierre",<Null>,<Null>,Gravelbourg,Saskatchewan,"Promoter of agriculture in the Prairies, settlers to Saskatchewan (1906-26)","Promoteur de l'agriculture dans les prairies, colonisateur de la Saskatchewan (1906-26)",49.878766,-106.556838
"Gray, Colonel John Hamilton","Gray, colonel John Hamilton",165 Richmond Street,north east side of Province House NHSC,Charlottetown,Prince Edward Island,"Father of Confederation, Premier of Prince Edward Island (1863-65)","Père de la Confédération, premier ministre de l'Île-du-Prince-Édouard (1863-1865)",46.23525,-63.12585
"Gray, John Hamilton","Gray, John Hamilton",277 Douglas Avenue,New Brunswick Museum,Saint John,New Brunswick,"Father of Confederation, Speaker of New Brunswick Assembly (1866-67)","Père de la Confédération, orateur de l'assemblée du Nouveau-Brunswick (1866-1867)",45.269115,-66.081857
"Grenfell, Sir Wilfred Thomason","Grenfell, sir Wilfred",<Null>,<Null>,St. Anthony,Newfoundland and Labrador,"Minister and physician, improved living conditions in Newfoundland and Labrador","Ministre et médecin, améliora les conditions de vie à Terre-Neuve et au Labrador",51.366667,-55.583333
"Grey Owl (Wa-Sha-Quo-Asin, Archibald Belaney)","Belaney, Archibald(Grey Owl)",<Null>,<Null>,*    Prince Albert National Park of Canada,Saskatchewan,"Writer, conservationist, popular lecturer","Écrivain, écologiste, conférencier populaire",53.904208,-106.076737
"Groulx, Lionel-Adolphe","Groulx, Lionel-Adolphe",<Null>,<Null>,*    Vaudreuil,Quebec,"Priest, historian and political activist","Prêtre, historien et activiste politique",45.4,-74.033333
"Gutteridge, Helena","Gutteridge, Helena",453 West 12th Avenue,Vancouver City Hall,*    Vancouver,British Columbia,Unique in making a space for wage-earning women within the predominantly middle-class feminist movement; first female member of Vancouver City Council in 1937,"A donné une voix aux femmes salariées au sein d'un mouvement féministe dominé par les femmes de la classe moyenne; première femme élue au conseil municipal de Vancouver, en 1937",49.260943,-123.11393
"Haldimand, Sir Frederick","Haldimand, sir Frederick",Mont-Carmel Street (corner of rue de la Porte),North west corner of Jardin des Gouverneurs Park,Québec,Quebec,"Governor of Quebec (1778-86), built the Coteau-du-lac Canal (1779), settled Loyalists","Gouverneur de Québec (1778-1786), constructeur du canal de Coteau-du-Lac (1779), assigna des terres aux Loyalistes",46.811028,-71.206114
"Haliburton, Sir Arthur Lawrence (Lord Haliburton)","Haliburton, sir Arthur Lawrence (baron de Haliburton)",corner of King and Gernish Streets,"In a park, On wall of Hants County War Memorial Centre, beside door",Windsor,Nova Scotia,British army officer and civil servant,Officier de l'armée britannique et fonctionnaire,44.992391,-64.133357
"Haliburton, Thomas Chandler","Haliburton, Thomas Chandler",414 Clifton Street,1937-in King's Square / 1971-inside main entrance of Haliburton House,Windsor,Nova Scotia,Writer of humorous and satirical works,Auteur d'œuvres humoristiques et satiriques,44.988904,-64.142343
"Hall, William Neilson","Hall, William Neilson",<Null>,Baptist Church,*    Hantsport,Nova Scotia,"First person of African descent and the first Nova Scotian to be awarded a Victoria Cross, he has become a role model for the military","Première personne d'origine africaine et premier Néo-Écossais à avoir été décoré de la Croix de Victoria, il est devenu un modèle de comportement pour les militaires",45.06417,-64.180923
"Hanlan, Edward","Hanlan, Edward",115 Princess Boulevard,"Sports Hall of Fame, Exhibition Place",Toronto,Ontario,"World rowing champion (1880-84), defeated only six times in 350 matches","Champion mondial de l'aviron (1880-1884), battu seulement six fois en 350 compétitions",43.632717,-79.413517
"Hardy, Arthur Sturgis","Hardy, Arthur Sturgis",667 Mount Pleasant Road,in main corridor of Mount Pleasant School,Mount Pleasant,Ontario,Premier and Attorney General of Ontario (1896-99),Premier ministre et procureur général de l'Ontario (1896-1899),43.081633,-80.3123
"Harkin, James Bernard","Harkin, James Bernard",southern end of Banff Avenue,"on a panel / cairn, Banff",Banff National Park of Canada,Alberta,"Commissioner of the Dominion Parks Branch (1911-36), instituted the Historic Sites and Monuments Board of Canada","Commissaire de la Division des parcs du Dominion (1911-1936), fondateur de la Commission des lieux et monuments historiques du Canada",51.171785,-115.571305
"Harris, Lawren Stewart","Harris, Lawren Stewart",800 Hornby Street,Vancouver Art Gallery,Vancouver,British Columbia,"Original member of Group of Seven artists, most abstract style","Premier membre du Groupe des Sept, au style le plus abstrait",49.283467,-123.120167
"Harris, Robert","Harris, Robert",<Null>,in Harris Art Gallery Building,Charlottetown,Prince Edward Island,"Portrait painter, painter of The Fathers of Confederation","Portraitiste, peintre des «Pères de la Confédération»",46.234244,-63.12727
"Hart, Ezekiel","Hart, Ezekiel",<Null>,<Null>,Trois-Rivières,Quebec,"First Jewish legislator in Canada, Member of Quebec Assembly (1807), influenced 1832 law on civil and political freedoms for Jews in Canada","Premier législateur juif, a influencé la législation pour la liberté civile et politique au Canada, député à l'assemblée législative du Québec (1807)",46.344083,-72.541915
"Hart, Julia Catherine (Beckwith)","Hart, Julia Catherine (Beckwith)",<Null>,"Harriet Irving Library, University of New Brunswick",Fredericton,New Brunswick,"Author of ""St. Ursula's Convent"" (1824) first published novel by native-born Canadian","Auteure de «St. Ursula's Convent» (1824), premier roman publié par un auteur né au Canada",45.946161,-66.643065
"Harvey, Sir John","Harvey, sir John",Corner of Harvey Rd. and Bonaventure Ave,On 2m high wall at Fort Townshend NHSC,St. John's,Newfoundland and Labrador,"Lieutenant-Governor of Prince Edward Island (1836-37), New Brunswick (1837-41), Governor of Newfoundland (1841-46)","Lieutenant-gouverneur de l'Île-du-Prince-Édouard (1836-1837), du Nouveau-Brunswick (1837-1841), et gouverneur de Terre-Neuve  (1841-1846)",47.566661,-52.710669
"Haultain, Sir Frederick W. G.","Haultain, sir Frederick W. G.",<Null>,"Wascana Park, near Albert St. entrance",Regina,Saskatchewan,"Premier of the Northwest Territories (1891-1905), Chief Justice of Saskatchewan (1912-38)","Premier ministre des Territoires du Nord-Ouest (1891-1905), juge en chef de la Saskatchewan  (1912-1938)",50.439026,-104.617693
"Haviland, Thomas Heath","Haviland, Thomas Heath",165 Richmond Street,north east side of Province House NHSC,Charlottetown,Prince Edward Island,Father of Confederation,Père de la Confédération,46.23525,-63.12585
"Head, Sir Edmund","Head, sir Edmund",Mackenzie Avenue,Major's Hill Park,Ottawa,Ontario,"First civilian Lieutenant-Governor of New Brunswick, Governor General of British North America (1854-61)","Premier civil lieutenant-gouverneur du Nouveau-Brunswick, gouverneur général de l'Amérique du Nord britannique (1854-1861)",45.428217,-75.699317
"Heaps, Abraham Albert","Heaps, Abraham Albert",Bannatyne Avenue and King Street,Old Market Square,*    Winnipeg,Manitoba,Played a key parliamentary role in the introduction of social welfare legislation that supported core Canadian values,A joué un rôle de premier plan aux Communes dans l'adoption de lois sociales avec les valeurs fondamentales des Canadiennes et des Canadiens,49.898377,-97.140598
"Hearne, Samuel","Hearne, Samuel",<Null>,southeast wall of the east bastion Prince of Wales Fort,Churchill,Manitoba,"Explorer, discovered Coppermine River (1771), Governor at Prince of Wales Fort","Explorateur, découvreur de la rivière Coppermine (1771), gouverneur du fort Prince-de-Galles",58.796961,-94.213866
"Heintzman, Theodore August","Heintzman, Theodore August",116 Bond Street,In front of First Evangelical Lutheran Church,Toronto,Ontario,Founder of prominent piano manufacturing firm,Fondateur d'une importante manufacture de pianos,43.657103,-79.378652
"Henday, Anthony","Henday, Anthony","Highway 54, about 3/4 km west of the town",Near Anthony Henday Campground,Innisfail,Alberta,"Fur trader, explorer of the Canadian West, journey of 1754-55","Commerçant de fourrure, explorateur de l'Ouest canadien, expédition de 1754-1755",52.032255,-113.96072
"Hendry, John","Hendry, John",3300 Victoria Drive,John Hendry Park,*    Vancouver,British Columbia,"Lumber magnate, formed British Columbia Mills, Timber and Trading Company","Magnat de l'industrie forestière, l'origine des «British Columbia Mills, Timber and Trading Company»",49.304411,-123.152309
"Hennepin, Louis","Hennepin, Louis",<Null>,<Null>,*    Niagara Falls,Ontario,A scout in La Salle's expedition; important contribution to North American cartography with his map of New France - the first to accurately locate the Mississippi and to chart its course,Éclaireur dans l'expédition de Cavelier de La Salle; a publié les découvertes de l'expédition et apporté une importante contribution à la cartographie de l'Amérique du Nord,43.106072,-79.063843
"Henry, Alexander (The Younger)","Henry, Alexander (le jeune)",<Null>,"Rocky Mountain House NHSC, near location of former Northwest Company fort.",Rocky Mountain House,Alberta,Fur trader in the North West Company (1791-1814),Commerçant de fourrure de la compagnie du nord-ouest (1791-1814),52.356998,-114.975149
"Henry, William Alexander","Henry, William Alexander",1815 Upper Water Street,On wall of Law Courts Building,Halifax,Nova Scotia,Father of Confederation,Père de la Confédération,44.643824,-63.573582
"Henson, Reverend Josiah","Henson, révérend Josiah",<Null>,<Null>,Dresden,Ontario,"Community leader, Underground Railroad conductor, famous Black Canadian by virtue of his association with the main character in ""Uncle Tom's Cabin""","Leader de la communauté, conducteur du «chemin de fer» clandestin, Canadien de race noire devenu célèbre parce qu'il a été associé à « l'oncle Tom»",42.58555,-82.196483
"Hespeler, William","Hespeler, William",Crow Wing Trail and 4th St. south,North end of Hespeler Park,Niverville,Manitoba,Instrumental to the settlement and development of the Prairies,A contribué à la colonisation et au développement des Prairies,49.59836,-97.043528
"Hill, James Jerome","Hill, James Jerome",Highway 7,Eramosa Township Building opposite soldiers monument,Rockwood,Ontario,Red River Transportation Company (1856) and Great Northern Railway,Fondateur de la compagnie de transport de la Red River (1856) et chemin de fer le Great Northern,43.61655,-80.14605
"Hincks, Sir Francis","Hincks, sir Francis",Hunter and Light Streets,grounds of County Court House,Woodstock,Ontario,"Important reform politician 1840s, led the government of the Province of Canada (1851-54)","Politicien réformiste des années 1840, à la tête du gouvernement de la Province du Canada (1851-1854)",43.131467,-80.760633
"Hind, E. Cora","Hind, E. Cora",300 Carlton Street,Former Free Press Building,Winnipeg,Manitoba,Leading advocate of women's rights and suffrage in Manitoba,Principale porte-parole du mouvement pour les droits et le suffrage des femmes au Manitoba,49.893537,-97.146513
"Hocquart, Gilles","Hocquart, Gilles",<Null>,<Null>,Québec,Quebec,"Intendant of New France (1731-48), began Les Forges du Saint-Maurice","Intendant de la Nouvelle-France (1731-1748), fondateur des Forges du St-Maurice",46.816667,-71.216667
"Holland, Samuel Johannes","Holland, Samuel Johannes",Holland Avenue at Maire-Rollet Street,Holland Park,Québec,Quebec,"Surveyor, military engineer, Surveyor General of Quebec (1764-91)","Arpenteur, ingénieur militaire, arpenteur en chef de Québec (1764-91)",46.794704,-71.252395
"Holton, Luther Hamilton","Holton, Luther Hamilton",<Null>,<Null>,Montréal,Quebec,"Montréal businessman and banker, Minister of Finance (1862-64)","Homme d'affaires et banquier de Montréal, ministre des Finances (1862-1864)",45.508818,-73.554133
